"chr" "dist_center" "syntheny" "breakpoints" "genes" "re" "dante" "recomb" "ltr" "ty1_copia" "ty3_gypsy" "dna_trans" "line" "unknown" "sine" "trc" "trc1" "gc"
"scaffold_1" "scaffold_1" "9.127039" "rearranged" "conserved" "4" "116" "18" NA "8" "3" "1" "3" "0" "55" "0" "0" "0" "0.352484"
"scaffold_1.1" "scaffold_1" "9.0270415" "rearranged" "conserved" "6" "185" "7" NA "0" "0" "0" "3" "0" "107" "0" "0" "0" "0.3211"
"scaffold_1.2" "scaffold_1" "8.927044" "rearranged" "conserved" "11" "149" "6" NA "0" "0" "0" "1" "0" "65" "0" "0" "0" "0.340357"
"scaffold_1.3" "scaffold_1" "8.8270465" "rearranged" "conserved" "7" "200" "2" NA "0" "0" "0" "0" "0" "109" "1" "0" "0" "0.31804"
"scaffold_1.4" "scaffold_1" "8.727049" "rearranged" "conserved" "14" "164" "8" NA "2" "1" "1" "1" "0" "82" "1" "0" "0" "0.331887"
"scaffold_1.5" "scaffold_1" "8.6270515" "rearranged" "conserved" "13" "164" "5" NA "0" "0" "0" "0" "1" "89" "0" "0" "0" "0.32602"
"scaffold_1.6" "scaffold_1" "8.5270545" "rearranged" "conserved" "7" "208" "3" NA "0" "0" "0" "1" "1" "109" "1" "0" "0" "0.32215"
"scaffold_1.7" "scaffold_1" "8.427057" "rearranged" "conserved" "9" "158" "6" "0.000274810839368483" "6" "1" "0" "0" "0" "93" "3" "0" "0" "0.347417"
"scaffold_1.8" "scaffold_1" "8.3270595" "rearranged" "conserved" "13" "226" "0" "0.000203455443003269" "0" "0" "0" "0" "0" "142" "0" "0" "0" "0.32451"
"scaffold_1.9" "scaffold_1" "8.227062" "rearranged" "conserved" "9" "165" "10" "4.87922732965362e-05" "4" "2" "0" "0" "0" "100" "0" "0" "0" "0.355297"
"scaffold_1.10" "scaffold_1" "8.1270645" "rearranged" "conserved" "10" "217" "10" "4.87922732965362e-05" "1" "0" "1" "0" "1" "125" "0" "0" "0" "0.33626"
"scaffold_1.11" "scaffold_1" "8.027067" "rearranged" "conserved" "8" "188" "14" "4.87922732965362e-05" "4" "0" "1" "0" "1" "117" "0" "0" "0" "0.334287"
"scaffold_1.12" "scaffold_1" "7.9270695" "rearranged" "conserved" "8" "193" "9" "4.87922732965362e-05" "2" "2" "0" "1" "0" "98" "0" "0" "0" "0.33777"
"scaffold_1.13" "scaffold_1" "7.8270725" "rearranged" "conserved" "12" "185" "19" "4.36919257983957e-05" "11" "4" "0" "0" "0" "96" "0" "0" "0" "0.33712"
"scaffold_1.14" "scaffold_1" "7.727075" "rearranged" "conserved" "12" "151" "9" "2.65182921918e-05" "0" "0" "0" "0" "0" "76" "0" "1" "1" "0.332827"
"scaffold_1.15" "scaffold_1" "7.6270775" "rearranged" "conserved" "9" "135" "9" "2.65182921918e-05" "5" "1" "1" "1" "0" "71" "0" "1" "1" "0.33214"
"scaffold_1.16" "scaffold_1" "7.52708" "rearranged" "conserved" "6" "209" "8" "2.65182921918e-05" "1" "1" "0" "0" "0" "115" "0" "0" "0" "0.329977"
"scaffold_1.17" "scaffold_1" "7.4270825" "rearranged" "conserved" "16" "162" "7" "7.94222339481155e-05" "4" "1" "0" "0" "0" "91" "0" "0" "0" "0.32787"
"scaffold_1.18" "scaffold_1" "7.327085" "rearranged" "conserved" "12" "174" "2" "0.000112589267291914" "0" "0" "0" "0" "0" "92" "0" "0" "0" "0.324206"
"scaffold_1.19" "scaffold_1" "7.2270875" "rearranged" "conserved" "9" "218" "10" "0.00013304222491888" "0" "0" "0" "1" "0" "122" "0" "0" "0" "0.32763"
"scaffold_1.20" "scaffold_1" "7.1270905" "rearranged" "conserved" "8" "184" "9" "6.38837155449851e-05" "0" "0" "0" "2" "1" "100" "0" "0" "0" "0.32937"
"scaffold_1.21" "scaffold_1" "7.027093" "rearranged" "conserved" "12" "183" "6" "6.38837155449851e-05" "0" "0" "0" "2" "1" "93" "0" "0" "0" "0.334267"
"scaffold_1.22" "scaffold_1" "6.9270955" "rearranged" "conserved" "10" "188" "9" "3.65625875657022e-05" "3" "1" "0" "0" "0" "108" "0" "0" "0" "0.33047"
"scaffold_1.23" "scaffold_1" "6.827098" "rearranged" "conserved" "7" "127" "11" "1.28043901138191e-05" "5" "2" "0" "0" "0" "79" "0" "1" "1" "0.330267"
"scaffold_1.24" "scaffold_1" "6.7271005" "rearranged" "conserved" "3" "147" "10" "1.28043901138191e-05" "0" "0" "0" "3" "1" "59" "0" "0" "0" "0.33879"
"scaffold_1.25" "scaffold_1" "6.627103" "rearranged" "conserved" "12" "152" "7" "1.28043901138191e-05" "0" "0" "0" "2" "0" "55" "0" "0" "0" "0.349227"
"scaffold_1.26" "scaffold_1" "6.5271055" "rearranged" "conserved" "5" "172" "8" "1.28043901138191e-05" "5" "0" "1" "0" "0" "78" "0" "0" "0" "0.33736"
"scaffold_1.27" "scaffold_1" "6.4271085" "rearranged" "conserved" "4" "176" "9" "1.28043901138191e-05" "0" "0" "0" "1" "2" "87" "0" "0" "0" "0.33566"
"scaffold_1.28" "scaffold_1" "6.327111" "rearranged" "conserved" "7" "158" "4" "1.28043901138191e-05" "0" "0" "0" "2" "0" "72" "0" "0" "0" "0.329067"
"scaffold_1.29" "scaffold_1" "6.2271135" "rearranged" "conserved" "7" "134" "7" "1.28043901138191e-05" "6" "1" "0" "0" "0" "76" "0" "0" "0" "0.33323"
"scaffold_1.30" "scaffold_1" "6.127116" "rearranged" "conserved" "9" "188" "16" "1.28043901138191e-05" "9" "2" "0" "0" "0" "98" "0" "0" "0" "0.326317"
"scaffold_1.31" "scaffold_1" "6.0271185" "rearranged" "conserved" "12" "148" "4" "1.28043901138191e-05" "0" "0" "0" "0" "0" "79" "0" "0" "0" "0.33706"
"scaffold_1.32" "scaffold_1" "5.927121" "rearranged" "conserved" "5" "181" "3" "1.28043901138191e-05" "0" "0" "0" "1" "0" "101" "0" "0" "0" "0.322426"
"scaffold_1.33" "scaffold_1" "5.8271235" "rearranged" "conserved" "14" "188" "12" "1.28043901138191e-05" "2" "2" "0" "1" "0" "97" "0" "0" "0" "0.3276"
"scaffold_1.34" "scaffold_1" "5.7271265" "rearranged" "conserved" "7" "134" "9" "1.28043901138191e-05" "1" "0" "1" "1" "0" "64" "0" "0" "0" "0.34154"
"scaffold_1.35" "scaffold_1" "5.627129" "rearranged" "conserved" "7" "159" "19" "7.84934793051459e-05" "3" "3" "0" "1" "0" "77" "0" "0" "0" "0.323916"
"scaffold_1.36" "scaffold_1" "5.5271315" "rearranged" "conserved" "13" "211" "8" "1.0145066465374e-05" "0" "0" "0" "0" "2" "114" "0" "0" "0" "0.32528"
