"chr" "dist_center" "syntheny" "breakpoints" "genes" "re" "dante" "recomb" "ltr" "ty1_copia" "ty3_gypsy" "dna_trans" "line" "unknown" "sine" "trc" "trc1" "gc"
"scaffold_1" "scaffold_1" "8.606019" "conserved" "conserved" "10" "134" "10" NA "1" "0" "1" "0" "0" "50" "0" "2" "2" "0.365044"
"scaffold_1.1" "scaffold_1" "8.5060435" "conserved" "conserved" "7" "175" "11" NA "6" "1" "0" "2" "0" "94" "0" "0" "0" "0.332843"
"scaffold_1.2" "scaffold_1" "8.4060685" "conserved" "conserved" "12" "191" "8" NA "2" "1" "0" "0" "0" "115" "0" "0" "0" "0.340925"
"scaffold_1.3" "scaffold_1" "8.3060935" "conserved" "conserved" "13" "195" "8" "6.5254671630429e-09" "2" "1" "0" "0" "0" "105" "1" "0" "0" "0.342946"
"scaffold_1.4" "scaffold_1" "8.2061185" "conserved" "conserved" "12" "205" "24" "3.39631228406024e-10" "13" "3" "0" "0" "0" "115" "0" "0" "0" "0.350108"
"scaffold_1.5" "scaffold_1" "8.1061435" "conserved" "conserved" "6" "155" "15" "3.39631228406024e-10" "3" "0" "3" "0" "0" "85" "1" "0" "0" "0.343666"
"scaffold_1.6" "scaffold_1" "8.006168" "conserved" "conserved" "3" "135" "6" "5.00559501630325e-06" "1" "1" "0" "0" "0" "84" "0" "2" "2" "0.344733"
"scaffold_1.7" "scaffold_1" "7.9061925" "conserved" "conserved" "8" "214" "10" "9.40142582398735e-06" "7" "2" "0" "0" "0" "107" "1" "0" "0" "0.332593"
"scaffold_1.8" "scaffold_1" "7.8062175" "conserved" "conserved" "6" "184" "14" "3.77230422564583e-05" "4" "2" "0" "1" "0" "109" "0" "0" "0" "0.343796"
"scaffold_1.9" "scaffold_1" "7.7062425" "conserved" "conserved" "11" "245" "4" "2.17186886918237e-05" "1" "1" "0" "1" "0" "140" "0" "0" "0" "0.32204"
"scaffold_1.10" "scaffold_1" "7.6062675" "conserved" "conserved" "6" "225" "11" "2.17186886918237e-05" "6" "1" "0" "2" "1" "130" "0" "0" "0" "0.341645"
"scaffold_1.11" "scaffold_1" "7.5062925" "conserved" "conserved" "7" "182" "8" "2.17186886918237e-05" "3" "1" "0" "0" "0" "116" "0" "0" "0" "0.332813"
"scaffold_1.12" "scaffold_1" "7.406317" "conserved" "conserved" "14" "145" "8" "2.17186886918237e-05" "0" "0" "0" "0" "2" "80" "0" "0" "0" "0.349944"
