gene_id,omega,dN,dS
g14338_CDS1,0.0001,0.0,0.007
g14899_CDS4,0.54947,0.0,0.0
g14719_CDS1,0.53559,0.0,0.0
g14322_CDS3,0.95824,0.0,0.0
g14751_CDS2,0.51836,0.0,0.0
g15017_CDS1,0.5474,0.0,0.0
g14463_CDS2,999.0,0.0111,0.0
g14578_CDS3,0.31567,0.0052,0.0165
g14645_CDS6,0.0001,0.0,0.0124
g14740_CDS2,0.54724,0.0,0.0
g14873_CDS2,0.0001,0.0,0.0
g14917_CDS1,4.02445,42.0174,10.4405
g14881_CDS1,0.50909,0.0,0.0
g14743_CDS29,913.1672,0.0,0.0
g14722_CDS6,0.52877,0.0,0.0
g14538_CDS1,0.46425,0.0,0.0
g14727_CDS4,0.53995,0.0,0.0
g14890_CDS2,0.54228,0.0,0.0
g14965_CDS6,0.0001,0.0,0.0
g14645_CDS3,0.0001,0.0,0.0615
g14427_CDS11,999.0,0.0099,0.0
g14796_CDS4,0.46896,0.0,0.0
g15011_CDS1,0.0001,0.0,0.0
g14522_CDS4,0.48366,0.0,0.0
g14491_CDS3,0.52354,0.0,0.0
g14454_CDS3,0.04687,0.2401,5.1234
g14538_CDS2,0.75518,0.0078,0.0103
g14897_CDS1,0.0001,0.0,0.0
g14387_CDS1,0.0001,0.0,0.0
g14438_CDS7,1.24809,3.1004,2.4841
g14314_CDS3,0.0001,0.0,0.0
g14526_CDS3,999.0,0.0104,0.0
g14335_CDS6,0.0001,0.0,0.0
g14477_CDS10,150.16149,0.0,0.0
g14731_CDS10,32.08484,0.0,0.0
g14344_CDS1,0.51054,0.0,0.0
g14945_CDS3,0.0001,0.0,0.0
g14377_CDS1,0.0001,0.0,0.0
g14821_CDS4,0.5347,0.0,0.0
g14378_CDS2,0.47334,0.0,0.0
g14555_CDS1,0.50962,0.0,0.0
g14702_CDS1,0.0001,0.0,0.0
g14809_CDS4,0.49937,0.0,0.0
g14975_CDS2,999.0,0.0,0.0
g14821_CDS3,0.49595,0.0,0.0
g14450_CDS6,0.0001,0.0,0.0
g14809_CDS2,0.54139,0.0,0.0
g14429_CDS11,0.47941,0.0,0.0
g14758_CDS8,999.0,0.0,0.0
g14970_CDS2,0.0001,0.0,0.0
g14363_CDS1,0.0001,0.0,0.0109
g14904_CDS1,0.3916,0.0,0.0
g14327_CDS5,0.0001,0.0,0.0
g14322_CDS2,0.51105,0.0,0.0
g14470_CDS2,648.51889,0.0,0.0
g14477_CDS15,0.54098,0.0,0.0
g14727_CDS7,0.4734,0.0,0.0
g14400_CDS1,1.01192,0.0112,0.0111
g14900_CDS1,0.0001,0.0,0.0
g15020_CDS1,0.0001,0.0,0.0045
g14490_CDS3,0.79344,0.0633,0.0797
g15009_CDS3,0.0001,0.0,0.0
g14966_CDS2,999.0,0.0182,0.0
g14877_CDS6,0.4657,0.0,0.0
g14643_CDS1,542.7061,0.0031,0.0
g14790_CDS1,0.67843,0.0,0.0
g14314_CDS1,0.53182,0.0,0.0
g14456_CDS1,999.0,0.0,0.0
g14644_CDS1,0.2674,0.0021,0.0077
g14916_CDS2,0.47099,0.0,0.0
g15023_CDS3,0.54368,0.0,0.0
g14943_CDS1,0.55624,0.0,0.0
g14744_CDS1,0.0001,0.0,0.0
g14430_CDS3,0.53423,0.0,0.0
g15030_CDS2,0.0001,0.0,0.0
g14382_CDS2,0.46002,0.0,0.0
g14881_CDS9,0.51867,0.0,0.0
g14663_CDS2,0.0001,0.0,0.0
g14872_CDS3,999.0,0.0047,0.0
g14807_CDS1,231.43077,0.0028,0.0
g14886_CDS1,0.50848,0.0,0.0
g14373_CDS10,0.0001,0.0,0.0
g14696_CDS7,0.0001,0.0,0.0
g14450_CDS2,0.0001,0.0,0.0
g14900_CDS8,0.0001,0.0,0.0
g14915_CDS6,0.52951,0.0,0.0
g14720_CDS3,0.0001,0.0,0.0
g14653_CDS1,999.0,0.0,0.0
g14454_CDS2,1.50694,3.5103,2.3294
g14326_CDS3,0.0001,0.0,0.0
g14894_CDS2,0.46957,0.0,0.0
g14925_CDS1,0.0001,0.0,0.0
g14689_CDS4,0.48069,0.0,0.0
g14952_CDS5,0.53247,0.0,0.0
g14529_CDS2,0.0001,0.0,0.0
g14870_CDS1,0.34336,0.0205,0.0596
g14943_CDS2,999.0,0.0,0.0
g14398_CDS3,0.49371,0.0,0.0
g14958_CDS5,0.0001,0.0,0.0144
g14726_CDS2,0.53604,0.0,0.0
g14743_CDS1,0.0001,0.0,0.0
g14323_CDS1,0.06343,6.3601,100.2758
g14994_CDS8,0.55437,0.0,0.0
g14806_CDS2,0.51398,0.0,0.0
g14329_CDS3,0.46828,0.0,0.0
g14327_CDS7,176.29222,0.0,0.0
g14731_CDS7,0.54994,0.0,0.0
g14881_CDS11,0.50872,0.0,0.0
g14467_CDS11,0.47612,0.0,0.0
g14916_CDS1,636.5165,0.0,0.0
g14751_CDS4,28.5652,47.3203,1.6566
g14889_CDS1,0.54346,0.0,0.0
g14816_CDS1,0.50748,0.0,0.0
g14972_CDS5,0.0001,0.0,0.0
g14709_CDS2,0.0001,0.0,0.0
g14723_CDS1,0.0001,0.0,0.0
g14795_CDS2,0.49737,0.0,0.0
g14743_CDS4,0.46702,0.0,0.0
g14933_CDS5,0.0001,0.0,0.0
g14726_CDS3,999.0,0.0059,0.0
g14850_CDS8,0.9047,0.0,0.0
g15037_CDS3,0.39769,0.0,0.0
g14796_CDS1,0.29069,0.0,0.0
g14748_CDS1,0.0001,0.0,0.0
g14551_CDS1,999.0,0.0101,0.0
g14342_CDS1,0.67323,0.0,0.0
g14712_CDS2,0.54529,0.0,0.0
g14463_CDS1,0.0001,0.0,0.0
g14647_CDS1,0.0001,0.0,0.0055
g14953_CDS2,999.0,0.0081,0.0
g14339_CDS1,0.84125,0.0,0.0
g15027_CDS1,999.0,0.0015,0.0
g14736_CDS3,0.46752,0.0,0.0
g14512_CDS1,999.0,0.0041,0.0
g14743_CDS12,0.50744,0.0,0.0
g14946_CDS2,0.0001,0.0,0.0
g14850_CDS1,1.5088,5.2724,3.4944
g14403_CDS1,2.21709,0.0258,0.0117
g14497_CDS17,0.46237,0.0,0.0
g14498_CDS7,0.0001,0.0,0.1536
g14409_CDS2,0.81922,0.0,0.0
g15017_CDS2,0.50172,0.0,0.0
g14820_CDS3,0.15326,0.0061,0.0395
g14898_CDS9,0.0001,0.0,0.0
g14357_CDS3,999.0,0.0,0.0
g14306_CDS1,1.17703,2.5454,2.1625
g14556_CDS3,0.0001,0.0,0.0
g14373_CDS11,0.51241,0.0,0.0
g14466_CDS6,0.0001,0.0,0.0
g14874_CDS1,0.0001,0.0,0.0
g14695_CDS3,0.50171,0.0,0.0
g14797_CDS1,0.551,0.0,0.0
g14879_CDS1,0.51749,0.0,0.0
g14949_CDS1,0.5374,0.0,0.0
g14329_CDS11,0.49513,0.0,0.0
g14796_CDS5,0.4825,0.0,0.0
g14751_CDS3,0.0001,0.0,0.0
g14987_CDS2,0.0001,0.0,0.0
g14898_CDS5,0.48917,0.0,0.0
g14882_CDS1,0.0001,0.0,0.0
g14653_CDS2,0.52831,0.0,0.0
g15025_CDS6,0.51234,0.0,0.0
g14357_CDS5,18.79536,0.0,0.0
g14430_CDS1,0.54875,0.0,0.0
g14653_CDS5,0.0001,0.0,0.0
g14951_CDS1,0.0001,0.0,0.0
g14696_CDS6,0.0001,0.0,0.0
g14416_CDS1,0.0001,0.0,0.0252
g14725_CDS1,0.12676,0.0,0.0
g14952_CDS3,0.504,0.0,0.0
g15030_CDS4,0.48865,0.0,0.0
g14445_CDS2,0.57897,0.0,0.0
g14560_CDS1,999.0,0.0082,0.0
g14988_CDS1,0.0001,0.0,0.0
g14316_CDS1,0.0001,0.0,0.0
g15025_CDS5,0.5314,0.0,0.0
g14769_CDS1,0.49238,0.0,0.0
g14330_CDS1,0.483,0.0,0.0
g14463_CDS3,999.0,0.0049,0.0
g14495_CDS1,0.19845,0.0,0.0
g14345_CDS7,0.51127,0.0,0.0
g14300_CDS1,0.62319,0.0,0.0
g14921_CDS1,0.4999,0.0,0.0
g14792_CDS2,0.51406,0.0,0.0
g14674_CDS8,1.21785,0.0,0.0
g14380_CDS5,0.0001,0.0,0.0
g14893_CDS4,0.0001,0.0,0.0
g14313_CDS9,0.0001,0.0,0.0
g14645_CDS5,0.0001,0.0,0.0303
g14731_CDS23,0.0001,0.0,0.0
g14532_CDS3,0.4959,0.0,0.0
g14380_CDS15,0.05499,5.4366,98.8639
g14465_CDS1,0.1546,0.0015,0.0097
g14696_CDS8,0.50468,0.0,0.0
g14485_CDS1,0.0001,0.0,0.0
g14352_CDS2,999.0,0.0,0.0
g14900_CDS6,0.0001,0.0,0.0
g14468_CDS2,0.47963,0.0,0.0
g14947_CDS3,0.45101,0.0,0.0
g14416_CDS3,0.49267,0.009,0.0183
g14970_CDS5,0.0001,0.0,0.0001
g14709_CDS1,0.54768,0.0,0.0
g14881_CDS8,0.50421,0.0,0.0
g14906_CDS2,0.52362,0.0,0.0
g14795_CDS3,113.11805,0.0161,0.0001
g14577_CDS1,0.47229,0.0,0.0
g14382_CDS1,0.52628,0.0,0.0
g14313_CDS7,0.0001,0.0,0.0
g14743_CDS10,0.52344,0.0,0.0
g14731_CDS11,0.53924,0.0,0.0
g14949_CDS2,0.02617,1.6761,64.0512
g14898_CDS13,0.43922,0.0,0.0
g14674_CDS5,999.0,0.0112,0.0
g14646_CDS1,0.0089,1.2348,138.6686
g14550_CDS9,0.51727,0.0,0.0
g14356_CDS2,0.0001,0.0,0.0
g14877_CDS2,0.0001,0.0,0.0001
g14730_CDS1,0.15991,0.001,0.0065
g14872_CDS1,0.0001,0.0,0.0
g14530_CDS1,0.47905,0.0,0.0
g14971_CDS3,0.53505,0.0,0.0
g14485_CDS2,58.63984,0.0,0.0
g14457_CDS3,999.0,0.0,0.0
g14994_CDS11,3.38796,0.0,0.0
g14447_CDS1,0.46292,0.0,0.0
g14651_CDS1,0.0001,0.0,0.0
g14798_CDS1,0.51927,0.0,0.0
g14743_CDS20,999.0,0.0,0.0
g14729_CDS6,0.0001,0.0,0.0
g15025_CDS1,0.51375,0.0,0.0
g14455_CDS1,0.46846,0.0,0.0
g14688_CDS2,0.49875,0.0,0.0
g14415_CDS1,0.4886,0.0,0.0
g14989_CDS1,0.0001,0.0,0.0036
g14457_CDS2,0.48219,0.0,0.0
g14319_CDS2,0.09527,2.0964,22.0042
g14332_CDS1,0.0001,0.0,0.0
g14797_CDS2,0.0001,0.0,0.0
g14328_CDS2,0.50773,0.0,0.0
g14720_CDS1,0.0001,0.0,0.0
g14796_CDS7,0.0001,0.0,0.0
g14991_CDS7,0.53078,0.0,0.0
g14368_CDS1,0.0001,0.0,0.0
g14691_CDS1,999.0,0.0039,0.0
g14439_CDS1,0.0001,0.0,0.0
g14525_CDS2,0.55137,0.0,0.0
g14743_CDS14,999.0,0.0,0.0
g14380_CDS12,999.0,0.0,0.0
g14775_CDS1,0.3874,0.47,1.2131
g14951_CDS11,0.47381,0.0,0.0
g14526_CDS1,0.0001,0.0,0.0
g14987_CDS3,0.0001,0.0,0.0
g14402_CDS2,0.0001,0.0,0.0
g14762_CDS1,0.25582,0.0,0.0
g14750_CDS2,999.0,0.0,0.0
g14809_CDS3,0.0001,0.0,0.0
g14873_CDS1,0.50262,0.0,0.0
g14771_CDS1,0.0001,0.0,0.0
g14376_CDS3,0.52898,0.0,0.0
g14684_CDS3,0.51382,0.0,0.0
g15024_CDS1,999.0,0.0037,0.0
g14313_CDS10,0.52707,0.0,0.0
g14795_CDS1,0.0001,0.0,0.0214
g14497_CDS23,0.0001,0.0,0.0
g14380_CDS14,0.54655,0.0,0.0
g14696_CDS3,0.51542,0.0,0.0
g14491_CDS1,836.06703,0.0,0.0
g14799_CDS1,0.0001,0.0,0.0
g14792_CDS1,999.0,0.0038,0.0
g15017_CDS3,0.0001,0.0,0.0
g14380_CDS11,0.46976,0.0,0.0
g14345_CDS3,0.49657,0.0,0.0
g14729_CDS2,1.11274,0.0,0.0
g14409_CDS9,0.55029,0.0,0.0
g14733_CDS8,0.53647,0.0,0.0
g14970_CDS4,0.34673,0.0,0.0
g14375_CDS2,0.35888,0.0099,0.0275
g14409_CDS6,0.0001,0.0,0.0
g14736_CDS1,0.48379,0.0,0.0
g14889_CDS2,0.52463,0.0,0.0
g14887_CDS6,0.0001,0.0,0.0278
g14758_CDS1,0.47021,0.0,0.0
g14958_CDS6,999.0,0.0059,0.0
g14510_CDS1,999.0,0.0021,0.0
