gene_id,N_sites,S_sites,N_changes,S_changes,dN,dS,omega
g14632_CDS1,484.8,193.2,0.0,0.966,0.0,0.005,0.0
g14624_CDS1,466.8,145.2,0.0,0.0,0.0,0.0,0.0
g14584_CDS1,868.4,355.6,3.99464,3.2537400000000005,0.0046,0.00915,0.5027322404371585
g14640_CDS2,203.0,61.0,0.0,0.0,0.0,0.0,0.0
g14627_CDS3,22.4,7.6,0.0,0.0,0.0,0.0,0.0
g14640_CDS4,282.8,89.2,0.0,0.0,0.0,0.0,0.0
g14630_CDS1,1923.4,512.6,0.0,0.0,0.0,0.0,0.0
g14598_CDS4,1851.4,704.6,18.60657,21.94829,0.01005,0.03115,0.32263242375601925
g14637_CDS1,625.2,256.8,0.0,0.0,0.0,0.0,0.0
g14608_CDS1,678.6,287.4,17.813250000000004,6.567089999999999,0.026250000000000006,0.02285,1.1487964989059085
g14627_CDS4,97.0,29.0,0.0,0.0,0.0,0.0,0.0
g14623_CDS1,513.2,146.8,0.0,0.0,0.0,0.0,0.0
g14596_CDS2,328.4,61.6,0.9851999999999999,1.35212,0.0029999999999999996,0.02195,0.13667425968109337
g14640_CDS10,250.6,85.4,0.0,0.0,0.0,0.0,0.0
g14604_CDS1,815.2,420.8,0.0,0.0,0.0,0.0,0.0
g14625_CDS2,14.8,3.2,0.0,0.0,0.0,0.0,0.0
g14597_CDS5,42.0,24.0,0.0,0.0,0.0,0.0,0.0
g14640_CDS5,27.2,20.8,0.0,0.0,0.0,0.0,0.0
g14586_CDS2,44.8,9.2,84.98112,419.73803999999996,1.8969000000000003,45.6237,0.041577075072824
g14609_CDS2,286.0,104.0,2.0449,1.0244000000000002,0.007150000000000001,0.009850000000000001,0.7258883248730965
g14597_CDS6,108.8,35.2,0.0,1.0384,0.0,0.0295,0.0
g14625_CDS1,224.6,75.4,0.0,0.0,0.0,0.0,0.0
g14633_CDS1,116.2,69.8,0.0,0.0,0.0,0.0,0.0
g14594_CDS1,120.6,47.4,0.0,0.0,0.0,0.0,0.0
g14592_CDS2,1322.8,699.2,0.0,1.0488000000000002,0.0,0.0015000000000000002,0.0
g14628_CDS1,45.8,26.2,0.0,0.0,0.0,0.0,0.0
g14584_CDS2,1315.8,478.2,6.05268,2.08017,0.0046,0.00435,1.0574712643678161
g14601_CDS1,373.2,106.8,0.98898,1.08936,0.00265,0.0102,0.2598039215686274
g14597_CDS3,140.0,52.0,1.008,1.0712,0.0072,0.0206,0.34951456310679613
g14594_CDS3,27.2,2.8,0.0,0.0,0.0,0.0,0.0
g14613_CDS1,591.2,218.8,0.0,0.0,0.0,0.0,0.0
g14639_CDS2,447.8,170.2,0.0,0.0,0.0,0.0,0.0
g14635_CDS2,33.8,8.2,0.0,0.0,0.0,0.0,0.0
g14623_CDS3,137.6,78.4,1.00448,1.22696,0.007300000000000001,0.01565,0.4664536741214058
g14606_CDS2,283.0,107.0,2.0659,1.0272000000000001,0.0073,0.009600000000000001,0.7604166666666666
g14640_CDS1,340.0,146.0,0.0,0.0,0.0,0.0,0.0
g14635_CDS3,61.0,17.0,1.02175,0.0,0.016749999999999998,0.0,0.0
g14624_CDS2,1586.0,556.0,0.0,0.0,0.0,0.0,0.0
g14625_CDS5,55.0,11.0,0.0,0.0,0.0,0.0,0.0
g14626_CDS1,680.6,243.4,0.0,0.0,0.0,0.0,0.0
g14638_CDS1,791.0,307.0,0.98875,0.0,0.00125,0.0,0.0
g14610_CDS1,751.0,209.0,55.874399999999994,18.3711,0.0744,0.08789999999999999,0.8464163822525598
g14595_CDS1,660.0,234.0,0.0,0.0,0.0,0.0,0.0
g14607_CDS2,282.2,107.8,7.478299999999999,3.1585400000000003,0.0265,0.029300000000000003,0.9044368600682593
g14601_CDS2,504.8,251.2,0.0,0.95456,0.0,0.0038,0.0
g14640_CDS9,243.2,74.8,0.0,0.0,0.0,0.0,0.0
g14597_CDS2,146.8,27.2,0.0,0.0,0.0,0.0,0.0
g14640_CDS3,34.6,7.4,0.0,0.0,0.0,0.0,0.0
g14596_CDS1,274.8,67.2,0.0,0.0,0.0,0.0,0.0
